name;site;code;type;longitude;latitude;height
Aquitania;Bordeaux;PHILODAMVS;Oberaden 74;-0.5805;44.840439;0
Tarraconensis;Barcelona;O;Dressel 2-4 Catalan;2.1741;41.398371;0
Lugdunensis;Mont-Beuvray;SIN;Dressel 1;4.032143;46.92678;0
Caledonia;Cumbernauld;PQ;Dressel 20;-3.983333;55.95;0
Italia;Padova;LAEK;Dressel 6B;11.883333;45.416667;0
Britannia;Cirencester;CPCAMO;Dressel 20;-1.983333;51.733333;0
Italia;Brindisi;DAMA;Brindisian amphora;17.933333;40.633333;0
Lugdunensis;Orleans;M;Pascual 1;1.903887;47.902891;0
Narbonensis;Saint-Romain-en-Gal;CSEMPRONIPOLYCLITI;Dressel 20;4.860743;45.531592;0
Lugdunensis;Mont-Beuvray;GA;Dressel 1;4.032143;46.92678;0
Noricum;Magdalensberg;PTOLEM;Dressel 6B;14.966667;46.65;0
Germania Superior;Mandeure;EVRI;Dressel 20;6.807625;47.449211;0
Narbonensis;Golfe de Fos;MATVRI;Gauloise 4;4.942851;43.383543;0
Tarraconensis;San Pedro;VICTORIA;Lamboglia 2;-0.751789;37.802242;0
Germania Superior;Nida-Heddernheim;LIVNIMELISSI;Dressel 20;8.645835;50.159548;0
Germania Superior;Dieburg;ACIRGI;Dressel 20;8.846132;49.897382;0
Tarraconensis;Cartagena;ALLAE;Lamboglia 2;-0.986232;37.605121;0
Tarraconensis;Ampurias;VEHIL;Brindisian amphora;3.117809;42.139543;0
Baetica;Almodovar del Rio;LIBERALINI;Dressel 20;-5.02037;37.810702;0
Narbonensis;Vienne;CSP;Dressel 20;4.873453;45.524785;0
Narbonensis;Ceilhes-et-Rocozels;ANT;Dressel 1;3.1106;43.803533;0
Germania Inferior;Neuss;ENNIORVMIVLIORVM;Dressel 20;6.685037;51.198071;0
Italia;Brindisi;VEHILI;Brindisian amphora;17.933333;40.633333;0
Tarraconensis;Mataro;VERD;Pascual 1;2.444503;41.542113;0
Italia;Brindisi;VEHILIANA;Brindisian amphora;17.933333;40.633333;0
Tarraconensis;Sant Vicenc dels Horts;P;Dressel 2-4 Catalan;2.007994;41.396145;0
Italia;Canale Giancola;VISELLI;Brindisian amphora;17.85;40.683333;0
Germania Superior;Hofheim;PONTICI;Augst 17;8.413845;49.657495;0
Italia;Brindisi;APOLLONI;Brindisian amphora;17.933333;40.633333;0
Britannia;Edinburgh;ACIRGI;Dressel 20;1.333333;51.283333;0
Aquitania;Bourges;SFE;Dressel 20;2.4;47.083333;0
Italia;Brindisi;PILEMO;Brindisian amphora;17.933333;40.633333;0
Narbonensis;Frejus;GERMIS;Dressel 20;6.735237;43.432858;0
Tarraconensis;Barcelona;AMANDI;Pascual 1;2.1741;41.398371;0
Italia;Imperia;CPF;Dressel 2-4 Catalan;8.05;43.883333;0
Britannia;London;VRBANVSTIBERF;Mortarium;-0.093145;51.514248;0
Germania Superior;Alzey;CAEF;Dressel 20;8.115128;49.746574;0
Africa Proconsularis;Sousse (Hadrumetum);ALEXANDER;Operculum;10.636991;35.825388;0
Italia;Ancona;CASTRA;Lamboglia 2;13.5;43.633333;0
Italia;Canale Giancola;LMARCISATVR;Brindisian amphora;17.85;40.683333;0
Belgica;Choloy;LIVNIMELISSI;Dressel 20;5.817642;48.663156;0
Italia;Albinia;ARS;Dressel 1C;11.25;42.5;0
Corsica et Sardinia;Iles Lavezzi;VIC;Dressel 2-4 Catalan;9.254185;41.341096;0
Lugdunensis;Mont-Beuvray;HF;Dressel 1;4.032143;46.92678;0
Italia;Canale Giancola;SCOPAS;Brindisian amphora;17.85;40.683333;0
Tarraconensis;Badalona;NIIN;Dressel 2-4 Catalan;2.244789;41.447145;0
Italia;Brindisi;ANINIANA;Brindisian amphora;17.933333;40.633333;0
Britannia;Colchester;CANTONIQVIETI;Dressel 20;0.9;51.883333;0
Tarraconensis;Mataro;AS;Dressel 2-4 Catalan;2.444503;41.542113;0
Italia;Canale Giancola;APOLLONID;Brindisian amphora;17.85;40.683333;0
Tarraconensis;Salou;MPEIAV;Tegula;1.139829;41.076036;0
Lugdunensis;Mont-Beuvray;AI;Dressel 1;4.032143;46.92678;0
Italia;Canale Giancola;APOLLONID;Brindisian amphora;17.85;40.683333;0
Lugdunensis;Mont-Beuvray;M;Dressel 1;4.032143;46.92678;0
Narbonensis;Toulon;APM;Gauloise 4;5.941712;43.117705;0
Lugdunensis;Lyon?;PATVIC;Dressel 20;4.846711;45.748457;0
Italia;Canale Giancola;HERMAISCI;Brindisian amphora;17.85;40.683333;0
Italia;Brindisi;GLAVCI;Brindisian amphora;17.933333;40.633333;0
Tarraconensis;Sant Vicenc dels Horts;F;Pascual 1;2.007994;41.396145;0
Germania Inferior;Rommerskirchen;QVIN;Dressel 20;6.692361;51.035167;0
Italia;Brindisi;COTHPIX;Brindisian amphora;17.933333;40.633333;0
Lugdunensis;Lyon?;TATILIASIATICI;Dressel 20;4.846711;45.748457;0
Germania Inferior;Fort Vechten;CCRASSISEMNI;Dressel 20;5.179773;52.064313;0
Italia;Canale Giancola;APOLLONID;Brindisian amphora;17.85;40.683333;0
Italia;Canale Giancola;LVKAON;Brindisian amphora;17.85;40.683333;0
Tarraconensis;San Pedro;ABAR;Lamboglia 2;-0.751789;37.802242;0
Italia;Brindisi;PVEBAL;Brindisian amphora;17.933333;40.633333;0
Baetica;Lora del Rio;LSERLVPI;Dressel 20;-5.52751;37.658961;0
Narbonensis;Arles;PNN;Dressel 20;4.636331;43.681659;0
Tarraconensis;Sant Vicenc dels Horts;PR;Pascual 1;2.007994;41.396145;0
Italia;Ostia Antica;QIA;Dressel 20;12.283333;41.75;0
Italia;Canale Giancola;DEMETRI;Brindisian amphora;17.85;40.683333;0
Lugdunensis;Entrains-sur-Nohain;BARC;Dressel 1;3.51869;47.461183;0
Italia;Marciana;CPC;Amphora incerta;10.166667;42.783333;0
Italia;Brindisi;MENOPILVS;Brindisian amphora;17.933333;40.633333;0
Lugdunensis;Mont-Beuvray;AC;Dressel 1;4.032143;46.92678;0
Narbonensis;Golfe de Fos;PSAVITI;Dressel 20;4.942851;43.383543;0
Dalmatia;Hvar;CIA;Lamboglia 2;16.728333;43.140833;0
Italia;Bolsena;VTHPVLROG;Amphora incerta;11.983333;42.65;0
Narbonensis;Herault;TATILIASIATICI;Dressel 20;3.443291;43.280977;0
Lusitania;Santarem;MENA;Brindisian amphora;-8.501922;39.288806;0
Italia;Padova;LAEHLAEKB;Dressel 6B;11.883333;45.416667;0
Tarraconensis;Barcelona;EPAPR;Pascual 1;2.1741;41.398371;0
Narbonensis;Vienne;LFO;Dressel 20;4.873453;45.524785;0
Germania Superior;Nida-Heddernheim;LQS;Dressel 20;8.645835;50.159548;0
Germania Superior;Mainz;CMM;Dressel 20;8.279096;49.984188;0
Baetica;Ecija;ROMANI;Dressel 20;-5.082599;37.542203;0
Italia;Albinia;APEL;Amphora incerta;11.25;42.5;0
Narbonensis;Narbonne;F;Pascual 1;3.008816;43.184417;0
Narbonensis;Roanne;AI;Amphora incerta;5.265397;44.690917;0
Italia;Altino;EPICA;Lamboglia 2;12.393333;45.544444;0
Narbonensis;Port-Vendres;CSEMPRONIPOLYCLITI;Dressel 20;3.104371;42.517594;0
Britannia;Corbridge;PMPM;Dressel 20;-2.016667;54.966667;0
Italia;Ljubljana (Emona);CALCRISPINILLAE;Dressel 6B;14.514444;46.055278;0
Tarraconensis;Ampurias;ANTH;Dressel 8;3.117809;42.139543;0
Lugdunensis;Lyon?;PSAVITI;Dressel 20;4.846711;45.748457;0
Italia;Brindisi;HPAIOC;Brindisian amphora;17.933333;40.633333;0
Aegyptus;Alexandria;ASVLEIANESE;Dressel 20;29.955266;31.215645;0
Italia;Este;HADAVG;Dressel 6B;11.65;45.233333;0
Aegyptus;Alexandria;MARB;Brindisian amphora;29.955266;31.215645;0
Noricum;Magdalensberg;COMI;Dressel 6B;14.966667;46.65;0
Lugdunensis;Mont-Beuvray;RE;Dressel 1;4.032143;46.92678;0
Aegyptus;Alexandria;MTVCCILFTROGALEONIS;Brindisian amphora;29.955266;31.215645;0
Germania Superior;Biesheim;CALPVRNC;Dressel 20;7.544738;48.041178;0
Africa Proconsularis;Lamta;CIRCULUS;Africana 2;10.883333;35.666667;0
Germania Superior;Augst;PMSC;Dressel 20;7.717205;47.536818;0
Belgica;Liberchies;LIVNIMELISSI;Dressel 20;3.5;50.6;0
Lugdunensis;Malain;HERACLIDA;Dressel 1;4.798681;47.326304;0
Baetica;Puerto Real;SOC;Amphora incerta;-6.191022;36.528604;0
Italia;Canale Giancola;APOLONIDA;Brindisian amphora;17.85;40.683333;0
Italia;Oderzo;AMETHYSTI;Dressel 6B;12.488056;45.78;0
Italia;Padova;FEL;Dressel 6B;11.883333;45.416667;0
Italia;Modena;LICI;Amphora incerta;10.9;44.5;0
Italia;Albinia;ARS;Dressel 1C;11.25;42.5;0
Baetica;Lora del Rio;IIAVRELHERACLAPATETFILFGRV;Dressel 20;-5.52751;37.658961;0
Italia;Brindisi;NMACCIVSLFQ;Brindisian amphora;17.933333;40.633333;0
Germania Superior;Ladenburg (Lopodunum);LMVE;Dressel 20;8.608962;49.473071;0
Tarraconensis;Badalona;R;Dressel 2-4 Catalan;2.244789;41.447145;0
Tarraconensis;Mataro;SEC;Dressel 2-4 Catalan;2.444503;41.542113;0
Britannia;London;PORLAR;Dressel 20;-0.093145;51.514248;0
Baetica;Puerto Real;LMEFAVSTI;Dressel 8;-6.191022;36.528604;0
Lugdunensis;Mont-Beuvray;GN;Dressel 1;4.032143;46.92678;0
Britannia;London;QANTRVG;Dressel 20;-0.093145;51.514248;0
Italia;Vicenza;FELIXSCR;Dressel 6B;11.55;45.55;0
Lugdunensis;Tournus;AM;Dressel 1;4.905743;46.567577;0
Narbonensis;Narbonne;IVLITHEOPHIL;Pascual 1;3.008816;43.184417;0
Tarraconensis;Barcelona;T;Pascual 1;2.1741;41.398371;0
Britannia;York;LIVNIMELISSI;Dressel 20;-1.083333;53.966667;0
Italia;Canale Giancola;LUKAON;Brindisian amphora;17.85;40.683333;0
Italia;Ostia Antica;CAERARIA;Dressel 20;12.283333;41.75;0
Baetica;Lora del Rio;ATITTAE;Dressel 20;-5.52751;37.658961;0
Germania Superior;Grand;CIALB;Dressel 20;5.487011;48.384942;0
Tarraconensis;Sant Vicenc dels Horts;IV;Pascual 1;2.007994;41.396145;0
Germania Superior;Mainz;PMANISVP;Dressel 20;8.279096;49.984188;0
Britannia;Corbridge;OICSVPVRO;Dressel 20;-2.016667;54.966667;0
Narbonensis;Vienne;SNR;Dressel 20;4.873453;45.524785;0
Corsica et Sardinia;Porto Torres;TFPI;Africana;8.397222;40.835;0
Lugdunensis;Lyon?;CIALB;Dressel 20;4.846711;45.748457;0
Tarraconensis;Sant Vicenc dels Horts;T;Pascual 1;2.007994;41.396145;0
Italia;Canale Giancola;POLEMON;Brindisian amphora;17.85;40.683333;0
Narbonensis;Narbonne;SIMBOLUS;Pascual 1;3.008816;43.184417;0
Lugdunensis;Lyon?;SCOROBRES;Dressel 20;4.846711;45.748457;0
Narbonensis;Golfe de Fos;LIT;Dressel 20;4.942851;43.383543;0
Germania Superior;Rheinhessen;MIM;Dressel 20;8.166667;49.833333;0
Baetica;Ecija;LAVRELIGERMANI;Dressel 20;-5.082599;37.542203;0
Italia;Canale Giancola;DEMETRI;Brindisian amphora;17.85;40.683333;0
Italia;Ostia Antica;GRA;Dressel 20;12.283333;41.75;0
Narbonensis;Arles;EQFA;Dressel 20;4.636331;43.681659;0
Corsica et Sardinia;Sardegna;CPROMINVS;Tegula;8.44;39.881944;0
Narbonensis;Roanne;BDD;Dressel 1B;5.265397;44.690917;0
Lugdunensis;Mont-Beuvray;E;Dressel 1;4.032143;46.92678;0
Germania Superior;Nida-Heddernheim;LFCRES;Dressel 20;8.645835;50.159548;0
Lugdunensis;Nuits-Saint-Georges;NITIOCENVF;Mortarium;4.949001;47.136829;0
Germania Superior;Lenzburg;OCEANI;Amphora incerta;8.181798;47.384048;0
Mauretania Tingitana;Melilla;M;Amphora incerta;-2.936694;35.292193;0
Germania Superior;Avenches;HERMESLVN;Amphora incerta;7.041042;46.880888;0
Italia;Brindisi;ANTIOCOS;Brindisian amphora;17.933333;40.633333;0
Caledonia;Abernethy;PARVA;Dressel 20;-3.333333;56.333333;0
Italia;Padova;TEBDPARHA;Amphora incerta;11.883333;45.416667;0
Tarraconensis;Ciudadela;AR;Dressel 2-4 Catalan;3.833333;40.033333;0
Britannia;Chester;CS;Dressel 20;-2.916667;53.2;0
Italia;Brindisi;EIKADIO;Brindisian amphora;17.933333;40.633333;0
Britannia;St. Albans;LANTSVRI;Dressel 20;-0.25;51.833333;0
Narbonensis;Narbonne;FVLPHIL;Pascual 1;3.008816;43.184417;0
Germania Superior;Nida-Heddernheim;SLAEON;Dressel 20;8.645835;50.159548;0
Baetica;Carmona;LER;Dressel 20;-5.646083;37.471248;0
Lugdunensis;Heuqueville;VIRG;Dressel 20;0.145549;49.616158;0
Britannia;Edinburgh;QANTRVG;Dressel 20;1.333333;51.283333;0
Tarraconensis;Sant Vicenc dels Horts;F;Pascual 1;2.007994;41.396145;0
Britannia;St. Albans;QCCI;Dressel 20;-0.25;51.833333;0
Germania Superior;Mainz;MIM;Dressel 20;8.279096;49.984188;0
Germania Superior;Niederbieber;PAPRV;Dressel 20;8.566917;50.271515;0
Britannia;Chesterford;CAMILIMELISSI;Dressel 20;0.2;52.066667;0
Narbonensis;Golfe de Fos;A;Dressel 20;4.942851;43.383543;0
Narbonensis;Narbonne;QFF;Dressel 20;3.008816;43.184417;0
Britannia;Chester;AAFAAE;Dressel 20;-2.916667;53.2;0
Tarraconensis;Sant Vicenc dels Horts;MA;Pascual 1;2.007994;41.396145;0
Narbonensis;Saint-Paul-Trois-Chateaux;VERI;Gauloise 1;4.765745;44.349093;0
Tarraconensis;Sagunto;GRAECO;Dressel 2-4 Catalan;-0.266667;39.683333;0
Narbonensis;Rade d'Agay;SA;Dressel 2-4 Catalan;6.866667;43.433333;0
Aegyptus;Alexandria;VEHILI;Brindisian amphora;29.955266;31.215645;0
Tarraconensis;Alicante;SEXIRVF;Dressel 20;-0.45;38.35;0
Britannia;Canterbury;HERMES;Dressel 6;1.083333;51.266667;0
Tarraconensis;Colonia de Sant Jordi;VERSO;Lamboglia 2;3;39.316667;0
Italia;Padova;PSEPVLLIPF;Amphora incerta;11.883333;45.416667;0
Baetica;Hornachuelos;SAXE;Dressel 20;-5.233333;37.833333;0
Lusitania;Troia;LEVGEN;Keay 16;-8.29339;40.079493;0
Italia;Tortona;MENOMIINO;Lamboglia 2;8.866667;44.9;0
Italia;Brindisi;ANTIOCOS;Brindisian amphora;17.933333;40.633333;0
Tarraconensis;Badalona;MPORCI;Pascual 1;2.244789;41.447145;0
Germania Superior;Gro?-Gerau;LMINICIFIRMONI;Dressel 20;8.48255;49.921394;0
Britannia;London;QFLAVIFLAVIANI;Dressel 20;-0.093145;51.514248;0
Germania Superior;Mainz;ALFO;Dressel 20;8.279096;49.984188;0
Tarraconensis;Ampurias;VENVS;Dressel 8;3.117809;42.139543;0
Lugdunensis;Rouen;APNA;Dressel 20;0.158146;49.521309;0
Italia;Brindisi;VEHILI;Brindisian amphora;17.933333;40.633333;0
Narbonensis;Golfe de Fos;LSAR;Dressel 20;4.942851;43.383543;0
Italia;Ostia Antica;IICCLLM;Dressel 20;12.283333;41.75;0
Italia;Brindisi;POSIDONI;Brindisian amphora;17.933333;40.633333;0
Tarraconensis;Sant Boi de Llobregat;QVA;Pascual 1;2.040791;41.342647;0
Germania Superior;Mainz;PORPS;Dressel 20;8.279096;49.984188;0
Italia;Canale Giancola;DAZIO;Brindisian amphora;17.85;40.683333;0
Tarraconensis;Badalona;COM;Dressel 2-4 Catalan;2.244789;41.447145;0
Italia;Ostia Antica;BSCDLEPMI;Africana 2D Grande;12.283333;41.75;0
Sicilia;Erice;OTA;Amphora incerta;12.583333;38.033333;0
Germania Superior;Strasbourg;ARVA;Dressel 20;7.787355;48.600381;0
Narbonensis;Narbonne;EVO;Pascual 1;3.008816;43.184417;0
Lugdunensis;Lyon?;SCALENSIAPHI;Dressel 20;4.846711;45.748457;0
Germania Superior;Kastell Marienfels;LCFPC;Dressel 20;8.618248;48.168228;0
Narbonensis;Golfe de Fos;PVAFAV;Dressel 20;4.942851;43.383543;0
Italia;Lodi Vecchio;CRISPINILI;Dressel 6B;9.4;45.3;0
Germania Superior;Frankfurt am Main;LIT;Dressel 20;8.684167;50.11552;0
Italia;Vercelli;CIB;Dressel 20;8.416667;45.316667;0
Tarraconensis;Barcelona;EPLPCP;Dressel 2-4 Catalan;2.1741;41.398371;0
Narbonensis;Clermont-l'Herault;PIVLICRISPI;Dressel 20;3.432619;43.628947;0
Italia;Brindisi;MENOPILVS;Brindisian amphora;17.933333;40.633333;0
Italia;Brindisi;PILEMO;Brindisian amphora;17.933333;40.633333;0
Italia;Padova;L;Dressel 6B;11.883333;45.416667;0
Germania Inferior;Nijmegen;QMR;Dressel 20;5.866667;51.833333;0
Belgica;Vendeuil-Caply;CAP;Dressel 20;2.302157;49.619303;0
Aegyptus;Alexandria;APPVLEI;Brindisian amphora;29.955266;31.215645;0
Tarraconensis;Villafafila;LD;Later;-5.615269;41.846918;0
Tarraconensis;Sagunto;KAP;Amphora incerta;-0.266667;39.683333;0
Tarraconensis;Sant Vicenc dels Horts;SIGNUM;Dressel 2-4 Catalan;2.007994;41.396145;0
Germania Inferior;Nijmegen;PANNIRVFI;Dressel 20;5.866667;51.833333;0
Baetica;El Puerto de Santa Maria;SIICVVA;Beltran 2B;-6.227507;36.59952;0
Britannia;York;PMOCVFIGEDO;Dressel 20;-1.083333;53.966667;0
Narbonensis;Vienne;LVIBICHROMIS;Dressel 20;4.873453;45.524785;0
Baetica;Hornachuelos;NARF;Dressel 20;-5.233333;37.833333;0
Germania Superior;Augst;AVIH;Dressel 20;7.717205;47.536818;0
Germania Superior;Ehl;COSL;Dressel 8;7.616482;48.371252;0
Italia;Milano;SIANDAE;Lamboglia 2;9.2;45.466667;0
Tarraconensis;Mataro;LCORPR;Dressel 2-4 Catalan;2.444503;41.542113;0
Mauretania Tingitana;Volubilis;CENNIHISPANI;Dressel 20;-5.557032;34.073697;0
Germania Superior;Mainz;CIVNREBVRI;Dressel 20;8.279096;49.984188;0
Lusitania;Tavira;LFO;Dressel 20;-7.648609;37.127338;0
Narbonensis;Baie de la Ciotat;PILOT;Dressel 1;5.65;43.166668;0
Mauretania Tingitana;Banasa;ROMVLI;Dressel 20;-6.115818;34.60144;0
Italia;Canale Giancola;ARCHELA;Brindisian amphora;17.85;40.683333;0
Italia;Canale Giancola;LVKAON;Brindisian amphora;17.85;40.683333;0
Italia;Pianoro;MSERRANI;Amphora incerta;11.333333;44.366667;0
Italia;Padova;SEXIVLSEVER;Dressel 6A;11.883333;45.416667;0
Narbonensis;Rade d'Agay;F;Dressel 2-4 Catalan;6.866667;43.433333;0
Narbonensis;Rade d'Agay;QAE;Dressel 2-4 Catalan;6.866667;43.433333;0
Germania Inferior;Nijmegen;MFR;Dressel 20;5.866667;51.833333;0
Narbonensis;Elne;SFE;Dressel 20;2.971462;42.600308;0
Germania Superior;Frankfurt am Main;SNR;Dressel 20;8.684167;50.11552;0
Germania Superior;Mainz;LVALERITROPHIMI;Dressel 20;8.279096;49.984188;0
Britannia;Silchester;TFA;Dressel 20;-1.066667;51.35;0
Italia;Canale Giancola;VISELLI;Brindisian amphora;17.85;40.683333;0
Germania Superior;Augst;LV;Dressel 20;7.717205;47.536818;0
Africa Proconsularis;Cartago;LRSILV;Amphora incerta;10.333333;36.866667;0
Narbonensis;Golfe de Fos;SISEN;Dressel 20;4.942851;43.383543;0
Africa Proconsularis;Cartago;LEVMACHI;Dressel 2-4 Italian;10.333333;36.866667;0
Baetica;Santiponce;CAS;Dressel 20;-6.041843;37.433953;0
Italia;Albinia;ARS;Dressel 1C;11.25;42.5;0
Narbonensis;Vienne;IVLEGN;Dressel 20;4.873453;45.524785;0
Dalmatia;Fier;IN;Corintia;19.782222;42.171111;0
Tarraconensis;Sant Boi de Llobregat;QVA;Pascual 1;2.040791;41.342647;0
Britannia;Colchester;SATVRNINI;Dressel 20;0.9;51.883333;0
Italia;Oderzo;ATEIO;Amphora incerta;12.488056;45.78;0
Britannia;Caerleon;BELLVC;Dressel 20;-2.958889;51.613333;0
Italia;Brindisi;ANINIANA;Brindisian amphora;17.933333;40.633333;0
Italia;Canale Giancola;LVCAO;Brindisian amphora;17.85;40.683333;0
Narbonensis;Port-Vendres;CSEMPRONIPOLYCLITI;Dressel 20;3.104371;42.517594;0
Narbonensis;Roanne;O;Dressel 2-4;5.265397;44.690917;0
Aquitania;Poitiers;SAXOFERR;Dressel 20;0.333333;46.583333;0
Italia;Oderzo;ATVS;Dressel 6B;12.488056;45.78;0
Tarraconensis;Elche;MEN;Ignotus;-0.706103;38.264987;0
Italia;Brindisi;APOLLONIMA;Brindisian amphora;17.933333;40.633333;0
Dalmatia;Shkoder;ZARA;Lamboglia 2;19.513056;42.0675;0
Aquitania;Quercy;QFG;Dressel 20;1.25;44.25;0
Germania Superior;Gro?-Gerau;ENNIORVMIVLIORVM;Dressel 20;8.48255;49.921394;0
Germania Superior;Nyon;NYMPHI;Dressel 20;6.239319;46.388848;0
Narbonensis;Golfe de Fos;ENNIORVMIVLIORVM;Dressel 20;4.942851;43.383543;0
Baetica;Ecija;SVLAL;Dressel 20;-5.082599;37.542203;0
Italia;Este;THB;Dressel 6A;11.65;45.233333;0
Belgica;Landas;A;Amphora incerta;3.303665;50.472689;0
Britannia;London;PAH;Dressel 20;-0.093145;51.514248;0
Germania Superior;Hofheim;P;Dressel 20;8.413845;49.657495;0
Britannia;Corbridge;MFF;Dressel 20;-2.016667;54.966667;0
Italia;Canale Giancola;VISELLI;Brindisian amphora;17.85;40.683333;0
Italia;Brindisi;VEHILI;Brindisian amphora;17.933333;40.633333;0
Mauretania Tingitana;Sale (Sala);ASVL;Dressel 20;-6.79846;34.0531;0
Italia;Ljubljana (Emona);HER;Dressel 6B;14.514444;46.055278;0
Lugdunensis;Malain;M;Dressel 1;4.798681;47.326304;0
Italia;Brindisi;LANINI;Brindisian amphora;17.933333;40.633333;0
Lugdunensis;Bourdeaux;V;Pascual 1;1.09928;48.677158;0
Narbonensis;Golfe de Fos;P;Dressel 2-4 Catalan;4.942851;43.383543;0
Italia;Brindisi;LEONTISCVS;Brindisian amphora;17.933333;40.633333;0
Narbonensis;Ile des Embiez;BAL;Dressel 2-4 Catalan;5.783295;43.075304;0
Britannia;Watercrook;MMCS;Dressel 20;-2.75;54.316667;0
Germania Superior;Sierentz;NA;Dressel 1;7.454263;47.658519;0
Lugdunensis;Lyon?;RVFINIATITTAE;Dressel 20;4.846711;45.748457;0
Italia;Fiesole;EPITAISTONBPOTIDTATAGPITANIOY;Amphora incerta;11.283333;43.8;0
Aquitania;Poitiers;PANNIRVFI;Dressel 20;0.333333;46.583333;0
Italia;Brindisi;QOBVLTRON;Brindisian amphora;17.933333;40.633333;0
Italia;Canale Giancola;SCOPAS;Brindisian amphora;17.85;40.683333;0
Narbonensis;Saint-Romain-en-Gal;LVARIONIS;Dressel 20;4.860743;45.531592;0
Britannia;London;CAPF;Dressel 20;-0.093145;51.514248;0
Narbonensis;Golfe de Fos;QRTF;Dressel 2-4;4.942851;43.383543;0
Italia;Brindisi;VEHILI;Brindisian amphora;17.933333;40.633333;0
Italia;Brindisi;ANINIANA;Brindisian amphora;17.933333;40.633333;0
Italia;Ostia Antica;IICCLLM;Dressel 20;12.283333;41.75;0
Tarraconensis;Sant Pol de Mar;MEVI;Pascual 1;2.62341;41.602356;0
Britannia;Caerwent;ACIR;Dressel 20;-2.766667;51.61;0
Narbonensis;Narbonne;L;Pascual 1;3.008816;43.184417;0
Baetica;Palma del Rio;MCCDFM;Dressel 20;-5.281208;37.700239;0
Tarraconensis;Elche;SOTERICSOTERIX;Brindisian amphora;-0.706103;38.264987;0
Britannia;Silchester;LIT;Dressel 20;-1.066667;51.35;0
Tarraconensis;Tivissa;SEXDOMITI;Oberaden 74;0.732916;41.041827;0
Italia;Brindisi;ANINIANA;Brindisian amphora;17.933333;40.633333;0
Italia;Brindisi;LEONTISCVS;Brindisian amphora;17.933333;40.633333;0
Germania Superior;Nida-Heddernheim;LFSEC;Dressel 20;8.645835;50.159548;0
Italia;Brindisi;VEHILI;Brindisian amphora;17.933333;40.633333;0
Italia;Brindisi;MFA;Brindisian amphora;17.933333;40.633333;0
Narbonensis;Narbonne;H;Pascual 1;3.008816;43.184417;0
Lugdunensis;Lyon?;EROTIS;Dressel 20;4.846711;45.748457;0
Aquitania;Poitiers;HILARI;Dressel 2-4 Catalan;0.333333;46.583333;0
Italia;Brindisi;PTOLEMAE;Brindisian amphora;17.933333;40.633333;0
Italia;Taranto;APOLONI;Lamboglia 2;17.229722;40.476111;0
Asia;Selcuk (Ephesus);SVR;Dressel 2-4 Italian;27.372747;37.948564;0
Germania Inferior;Alphen aan den Rijn;SCALHER;Dressel 20;4.654932;52.135141;0
Tarraconensis;Caldes de Montbui;SLL;Dressel 2-4 Catalan;2.169444;41.629167;0
Dalmatia;Split;LPM;Dressel 20;16.455833;43.513889;0
Italia;Canale Giancola;VISELLI;Brindisian amphora;17.85;40.683333;0
Raetia;Weissenburg in Bayern;CAF;Dressel 20;10.972771;49.030564;0
Narbonensis;Golfe de Fos;LFO;Dressel 20;4.942851;43.383543;0
Italia;Canale Giancola;CNPETROSOSTR;Brindisian amphora;17.85;40.683333;0
Italia;Brindisi;MENECRATES;Brindisian amphora;17.933333;40.633333;0
Italia;Brindisi;ANINIANA;Brindisian amphora;17.933333;40.633333;0
Baetica;Ecija;CAMILIMELISSI;Dressel 20;-5.082599;37.542203;0
Mauretania Tingitana;Tanger (Tingi);IRCIN;Beltran 2;-5.78;35.78;0
Sicilia;Lipari;VB;Richborough 527;14.933333;38.483333;0
Italia;Padova;IALIS;Dressel 6B;11.883333;45.416667;0
Britannia;Lincoln;LFC;Dressel 20;-0.533333;53.233333;0
Italia;Brindisi;HERMOGE;Brindisian amphora;17.933333;40.633333;0
Italia;Canale Giancola;VISELLI;Brindisian amphora;17.85;40.683333;0
Narbonensis;Roanne;XL;Dressel 1;5.265397;44.690917;0
Baetica;Ecija;LIVNIMELISSI;Dressel 20;-5.082599;37.542203;0
Italia;Vercelli;COLONI;Dressel 6B;8.416667;45.316667;0
Italia;Brindisi;ANINIANA;Brindisian amphora;17.933333;40.633333;0
Narbonensis;Baie de la Ciotat;DIESC;Dressel 1;5.65;43.166668;0
Italia;Brindisi;NMACCIVSLFQ;Brindisian amphora;17.933333;40.633333;0
Britannia;Colchester;PARVA;Dressel 20;0.9;51.883333;0
Italia;Canale Giancola;CNPETROSOSTR;Brindisian amphora;17.85;40.683333;0
Germania Superior;Gro?-Gerau;CANTONIQVIETI;Dressel 20;8.48255;49.921394;0
Britannia;London;IIIMINICIOR;Dressel 20;-0.093145;51.514248;0
Narbonensis;Roanne;REGENVSF;Amphora incerta;5.265397;44.690917;0
Lugdunensis;Mont-Beuvray;CRUX;Dressel 1;4.032143;46.92678;0
Narbonensis;Arles;PSAVITI;Dressel 20;4.636331;43.681659;0
Germania Superior;Niederbieber;LPCHFILI;Dressel 20;8.566917;50.271515;0
Britannia;Edinburgh;QIA;Dressel 20;1.333333;51.283333;0
Italia;Canale Giancola;DAZIO;Brindisian amphora;17.85;40.683333;0
Lugdunensis;Cersot;PIC;Dressel 1;4.622744;46.710232;0
Narbonensis;Geneve;LVARIONIS;Dressel 20;6.148113;46.195602;0
